,src,hyp_bi,hyp_uni_waco,ref
0,"He said, ""I'm so proud of you."" And I have to tell you, it was energizing.","""Dijo: """"Estoy muy orgulloso de ti"""". Y tengo que decirles que fue energizante.""","""Él dijo: """"Estoy muy orgulloso de ti"""". Y debo decirles que fue energizante.""","Y me susurró en el oído, me dijo: ""Estoy orgulloso de Ud."". Tengo que decirles ahora que eso fue vigorizante."
1,"Evolution is all about passing on the genome to the next generation, adapting and surviving through generation after generation.","La evolución consiste en transmitir el genoma a la siguiente generación, adaptarse y sobrevivir generación tras generación.","La evolución se trata de transmitir el genoma a la siguiente generación, de adaptarse y sobrevivir generación tras generación.",La evolución consiste en pasar el genoma a la próxima generación; adaptándose y superviviendo generación tras generación.
2,So the first steps of the story that I told you about took a billion years a piece.,Así que los primeros pasos de la historia que les conté tomaron mil millones de años cada uno.,"Así que los primeros pasos en la historia, sin embargo, llaman la atención.",Las primeras etapas de la historia que les contaba llevaron mil millones de años cada una.
3,"Where I ran into the most heat from this most recently was last year when South African runner, Caster Semenya, had her sex called into question at the International Games in Berlin.",Donde me encontré con la mayor reacción a esto fue el año pasado cuando la corredora sudafricana Caster Semenya tuvo su sexo cuestionado en los Juegos Internacionales de Berlín.,Lo más reciente de lo que me enteré de esto fue el año pasado cuando la corredora sudafricana Caster Semenya tuvo su sexo cuestionado en los Juegos Internacionales de Berlín.,El caso reciente más álgido es del año pasado con la corredora sudafricana Caster Semenya; se puso en tela de juicio su sexo en los Juegos Internacionales de Berlín.
4,"Yet I am afraid of privilege, of ease, of entitlement. Can I give them a bow in their lives, dipping bravely into each wave, the unperturbed and steady beat of the engine, the vast horizon that guarantees nothing? I don't know. But if I could give it and still see them safely through, I would.","Sin embargo, tengo miedo del privilegio, de la facilidad, de los derechos. ¿Puedo darles un saludo en sus vidas, sumergiéndome valientemente en cada ola? ¿El latido tranquilo y constante del motor? ¿El vasto horizonte que no garantiza nada? No lo sé. Pero si pudiera darlo y aún así verlos a salvo, lo haría. (Aplausos)","Sin embargo, tengo miedo al privilegio, a la facilidad, a los derechos. ¿Puedo darles una oportunidad en sus vidas, arriesgándome en cada ola? ¿El ritmo constante y firme del motor? ¿El vasto horizonte que no garantiza nada? No lo sé, pero si pudiera darles una oportunidad y aún así verlos con seguridad, lo haría. (Aplausos)","Sin embargo, le temo al privilegio de lo fácil, del derecho. ¿Puedo darles una proa en sus vidas, sumergiéndose valiente en cada ola, el impávido ritmo constante del motor, el vasto horizonte que no garantiza nada? No lo sé. Pero si pudiera darlo y verlos a salvo, lo haría."
5,This is a chart of what it looked like.,Este es un gráfico de cómo se veía.,Este es un gráfico de cómo se veía.,Este gráfico muestra la frecuencia de uso.
6,"We're near the end, we're getting close to the World Series.",Nos estamos acercando a la teoría del mundo.,"Estamos aquí al final, cerca de las teorías del mundo.","Estamos cerca de la final, se aproxima la Serie Mundial."
7,"So what you were getting was this: Your name here presents: My TED Talk that you have no idea what the subject is and, depending on the content, could ultimately blow up in your face, especially if I make you or your company look stupid for doing it.","""Así que lo que tenían era esto: """"Su nombre aquí presenta mi charla TED"""". No tenían idea del tema, y dependiendo del contenido, podría explotar en su cara, especialmente si los hacía parecer tontos por hacerlo.""","Así que lo que se obtiene es esto: tu nombre aquí presenta mi charla TED que no tienes ni idea del tema, dependiendo del contenido, podría explotar en tu cara, especialmente si te hago a ti o a tu empresa parecer tonto por hacerlo.","Lo que había era lo siguiente: ""AQUÍ SU NOMBRE presenta: mi TEDTalk de la que no tienen idea de qué se trata y según contenido podría explotarle en la cara, especialmente si lo pongo en ridículo a Ud o a su compañía al hacerlo."
8,And I claim it's already today that it's more likely for any of us to become the victim of a crime online than here in the real world.,Y sostengo que ya es más probable que cualquiera de nosotros sea víctima de un crimen en línea que aquí en la vida real.,Y afirmo que ya es más probable que cualquiera de nosotros sea víctima de un crimen en línea que aquí en el mundo real.,Y yo digo que hoy es más probable que cualquiera de nosotros sea víctima de un cibercrimen que de un crimen real.
9,"I'm Jessi, and this is my suitcase.",Soy Jesse y esta es mi maleta.,"Soy Jesse, y esta es mi maleta.","Soy Jessi, y esta es mi valija."
10,"I don't remember the pirates who came many times, but were bluffed by the bravado of the men on our boat, or the engine dying and failing to start for six hours.","No recuerdo a los piratas que vinieron muchas veces, pero fueron engañados por el bravado de los hombres en nuestro barco, o el motor que se apagó y no pudo arrancar durante seis horas.","No recuerdo a los piratas que vinieron muchas veces, pero fueron engañados por el blufo de los hombres en nuestro barco, o el motor que murió y no pudo arrancar durante seis horas.","No recuerdo a los piratas que vinieron varias veces, pero que fueron engañados con la valentía de los hombres en nuestro barco, o el motor muriendo y no pudiendo arrancar por 6 horas."
