size_bytes	size_human	mtime	path
5710153425	5.32 GB	2025-09-23 20:59:44	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_term_level_full_ddp_fixed_slice_best.pt
5710146520	5.32 GB	2025-09-23 21:21:50	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_term_level_full_ddp_fixed_slice.pt
5710145139	5.32 GB	2025-09-28 21:04:11	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_term_level_full_ddp_fixed_best.pt
5710127122	5.32 GB	2025-09-28 23:42:30	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_balanced_ddp_best.pt
5710120217	5.32 GB	2025-09-29 00:59:51	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_balanced_ddp.pt
5701736518	5.31 GB	2025-09-23 18:15:37	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_term_level_full_ddp_fixed.pt
5701722257	5.31 GB	2025-08-05 19:37:40	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.1_0.9_best.pt
5701722257	5.31 GB	2025-08-05 20:10:36	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.5_0.5_best.pt
5701722257	5.31 GB	2025-08-05 20:54:38	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.9_0.1_best.pt
5701722257	5.31 GB	2025-08-06 07:19:52	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.7_0.3_best.pt
5701722257	5.31 GB	2025-08-06 20:57:10	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.3_0.7_best.pt
5701721395	5.31 GB	2025-08-05 03:51:20	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n2_best.pt
5701721395	5.31 GB	2025-06-27 18:16:45	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n5_best.pt
5701721395	5.31 GB	2025-07-02 04:33:30	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n3_best.pt
5701721395	5.31 GB	2025-07-02 11:03:47	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n4_best.pt
5701718657	5.31 GB	2025-09-23 21:21:25	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_term_level_epoch15.pt
5701718657	5.31 GB	2025-08-04 10:16:14	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_full_n2_best.pt
5701716781	5.31 GB	2025-08-06 03:04:42	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0_1_best.pt
5701716781	5.31 GB	2025-08-06 06:18:39	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r1_0_best.pt
5701715412	5.31 GB	2025-08-05 20:54:41	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.9_0.1.pt
5701715412	5.31 GB	2025-08-06 08:39:05	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.7_0.3.pt
5701715412	5.31 GB	2025-08-06 21:23:02	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0.3_0.7.pt
5701714486	5.31 GB	2025-06-25 00:06:24	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_mfa_chunks_best.pt
5701714486	5.31 GB	2025-08-05 05:18:27	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n2.pt
5701714486	5.31 GB	2025-06-27 13:09:32	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n1.pt
5701714486	5.31 GB	2025-06-27 18:57:08	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n5.pt
5701714486	5.31 GB	2025-07-02 05:00:14	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n3.pt
5701714486	5.31 GB	2025-07-02 11:03:51	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_single_n4.pt
5701713979	5.31 GB	2025-09-22 22:23:56	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_term_level_single_best.pt
5701711748	5.31 GB	2025-07-27 08:08:50	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_full_n2.pt
5701709872	5.31 GB	2025-08-06 04:21:10	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r0_1.pt
5701709872	5.31 GB	2025-08-05 19:05:59	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_best.pt
5701709872	5.31 GB	2025-08-06 07:37:37	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/temp_clap_sonar_single_n2_r1_0.pt
5701687934	5.31 GB	2025-09-03 17:41:25	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/clap_sonar_term_level_single.pt
16783784	16.01 MB	2025-09-18 02:47:17	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/qwen2_audio_term_level_single_best.pt
16783752	16.01 MB	2025-09-18 14:13:40	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/qwen2_audio_term_level_epoch10.pt
16783744	16.01 MB	2025-09-18 14:28:30	/home/jiaxuanluo/InfiniSST/retriever/gigaspeech/data/qwen2_audio_term_level_single.pt
