hyp	tgt
Der Kapitän schwamm zu mir.	Der Hauptmann winkte mich zu sich.
"Er sagte: ""Bayes, ich möchte, dass du ins Haus gehst."	"Er sagte, ""Bezos, Sie müssen in das Haus gehen."
Ich möchte, dass Sie die Treppe hochgehen, vor das Feuer, und ich möchte, dass Sie dieser Frau ein Paar Schuhe geben. (Gelächter) Da sind Sie.	"Sie müssen nach oben gehen, an dem Feuer vorbei, und müssen dieser Frau ein Paar Schuhe holen. ""(Gelächter) Ich schwöre es."
Nicht genau das, was ich erwartet hatte, aber los ging ich, die Treppe hoch, den Gang entlang, vorbei an den echten Feuerwehrmännern, die gerade dabei waren, das Feuer zu löschen, in das Hauptschlafzimmer, um ein Paar Schuhe zu holen.	"Nun, nicht genau das, was ich mir erhofft hatte, doch ich ging los -- die Treppen hoch, den Flur entlang, an den ""echten"" Feuerwehrmännern vorbei, die zu diesem Zeitpunkt mit dem Löschen schon so ziemlich fertig waren, in das Schlafzimmer um ein Paar Schuhe zu holen."
Ich weiß, was Sie denken, aber ich bin kein Held. (Gelächter) (Applaus) Ich trug meine Last die Treppe runter, wo ich meinen Nimbus und den wertvollen Hund vor der Tür traf.	"Ich weiß was Sie jetzt denken, aber ich bin kein Held. (Gelächter) Ich trug meine Beute zurück nach unten, wo ich an der Haustür meinen Erzfeind und den geliebten Hund traf."
Wir brachten unseren Schatz zum Hausbesitzer, wo nicht überraschenderweise er viel mehr Aufmerksamkeit bekam als ich.	"Wir trugen unsere Schätze nach draußen zur Hausbesitzerin, wo, nicht überraschend, seiner wesentlich mehr Aufmerksamkeit bekam als meiner."
Zurück in New York bin ich Leiterin der Entwicklung für eine gemeinnützige Organisation namens Robin Hood.	"Zu Hause in New York, bin ich Chef der Entwicklungsabteilung einer gemeinnützigen Organisation namens Robin Hood."
Ein paar Wochen später erhielt die Abteilung einen Brief vom Hausbesitzer, der uns für unseren Einsatz dankte, um ihr Haus zu retten.	"Einige Wochen später, erhielt die Feuerwache einen Brief der Hausbesitzerin, in dem sie sich für den tapferen Einsatz bei der Rettung ihres Hauses bedankte."
Die Nettigkeit, bemerkte sie, übertraf alles andere. Jemand hatte ihr sogar ein Paar Schuhe geschenkt.	Eine über allem Maßen geschätzte Freundlichkeit: Jemand hatte ihr sogar ein Paar Schuhe gebracht.
Sowohl meine Berufung bei Robin Hood als auch meine Berufung als freiwilliger Feuerwehrmann sind Zeugen von Großzügigkeit und Güte auf einem gewaltigen Maßstab, aber ich bin auch Zeuge von Anmut und Mut auf individueller Ebene.	"Sowohl in meinem Beruf bei Robin Hood als auch in meinem Nebenberuf als freiwilliger Feuerwehrmann bin ich Zeuge von Großzügigkeit und Freundlichkeit im großen Maßstab, aber ich sehe auch Taten der Nächstenliebe und des Muts von Einzelnen."
Wissen Sie, was ich gelernt habe? Sie alle sind wichtig. Wenn ich mich also in diesem Raum umsehe, sehe ich Menschen, die entweder schon etwas erreicht haben oder auf dem Weg sind, bemerkenswerte Erfolge zu erzielen.	"Und wissen Sie was ich gelernt habe? Sie sind alle wichtig. Wenn ich mich also in diesem Raum umsehe und Menschen sehe, die entweder schon einen beachtenswerten Erfolg erreicht haben oder auf ihrem Weg dorthin sind, möchte ich folgende Erinnerung anbieten: Warten Sie nicht."
Wenn ich nicht gegen Armut kämpfe, kämpfe ich gegen Feuer, als Assistenzkapitän einer freiwilligen Feuerwehr.	"Wenn ich nicht die Armut bekämpfe, bekämpfe ich als Gehilfe eines Feuerwehr-Hauptmanns bei einem freiwilligen Löschzug das Feuer."
Warten Sie nicht, bis Sie Ihre erste Million verdient haben, um jemandes Leben zu verändern.	"Warten Sie nicht damit, einen Unterschied im Leben eines anderen zu machen, bis Sie Ihre erste Million erreicht haben."
Wenn Sie etwas zu geben haben, geben Sie es jetzt.	"Wenn Sie etwas zu geben haben, geben Sie es jetzt."
Servieren Sie Essen in einer Suppenküche, putzen Sie einen Park in der Nachbarschaft, seien Sie ein Mentor.	"Bedienen Sie in einer Suppenküche, räumen Sie einen Park in der Nachbarschaft auf, seien Sie ein Mentor."
Nicht jeder Tag wird uns die Chance bieten, das Leben von jemandem zu retten, aber jeder Tag bietet uns die Chance, das Leben von jemandem zu beeinflussen.	"Nicht jeder Tag wird uns eine Chance bieten, das Leben eines Menschen zu retten, aber jeder Tag bietet uns die Möglichkeit, eins zu verändern."
Also machen Sie sich bereit, retten Sie die Schuhe.	Also legen Sie los; retten Sie die Schuhe.
Vielen Dank.	Vielen Dank.
