t=2026-03-27T00:41:20-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-27T00:41:20-0400 lvl=info msg="using configuration at default config path" path=/home/siqiouya/.config/ngrok/ngrok.yml
t=2026-03-27T00:41:20-0400 lvl=info msg="open config file" path=/home/siqiouya/.config/ngrok/ngrok.yml err=nil
t=2026-03-27T00:41:20-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-27T00:41:20-0400 lvl=info msg="update available" obj=updater
t=2026-03-27T00:41:20-0400 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-27T00:41:20-0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-27T00:41:20-0400 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8199 url=https://jaida-avian-irmgard.ngrok-free.dev
t=2026-03-27T02:38:01-0400 lvl=info msg="join connections" obj=join id=dcf0e3834e9c l=127.0.0.1:8199 r=3.228.45.243:4051
t=2026-03-27T03:42:41-0400 lvl=info msg="join connections" obj=join id=64647f52bd15 l=127.0.0.1:8199 r=3.228.45.243:1284
t=2026-03-27T03:43:00-0400 lvl=info msg="join connections" obj=join id=8eef98f264fb l=127.0.0.1:8199 r=3.228.45.243:22548
t=2026-03-27T03:49:57-0400 lvl=info msg="join connections" obj=join id=a83892b08650 l=127.0.0.1:8199 r=3.228.45.243:59637
t=2026-03-27T06:41:20-0400 lvl=info msg="update available" obj=updater
t=2026-03-27T11:07:01-0400 lvl=info msg="join connections" obj=join id=0510d69fb312 l=127.0.0.1:8199 r=3.228.45.243:45948
t=2026-03-27T12:41:20-0400 lvl=info msg="update available" obj=updater
t=2026-03-27T17:35:02-0400 lvl=info msg="join connections" obj=join id=b6f0f0098956 l=127.0.0.1:8199 r=3.228.45.243:55558
t=2026-03-27T17:35:16-0400 lvl=info msg="join connections" obj=join id=af09d862ce05 l=127.0.0.1:8199 r=3.228.45.243:21996
t=2026-03-27T17:35:23-0400 lvl=info msg="join connections" obj=join id=acd09eb58e29 l=127.0.0.1:8199 r=3.228.45.243:58145
t=2026-03-27T17:35:29-0400 lvl=info msg="join connections" obj=join id=e40873135176 l=127.0.0.1:8199 r=3.228.45.243:32943
t=2026-03-27T17:35:30-0400 lvl=info msg="join connections" obj=join id=3ca39ed424d3 l=127.0.0.1:8199 r=3.228.45.243:16925
t=2026-03-27T17:35:32-0400 lvl=info msg="join connections" obj=join id=8ff8f82e3b82 l=127.0.0.1:8199 r=3.228.45.243:38162
t=2026-03-27T17:35:34-0400 lvl=info msg="join connections" obj=join id=cbb74fc89164 l=127.0.0.1:8199 r=3.228.45.243:13565
t=2026-03-27T17:35:36-0400 lvl=info msg="join connections" obj=join id=20c520221a70 l=127.0.0.1:8199 r=3.228.45.243:30169
t=2026-03-27T17:35:38-0400 lvl=info msg="join connections" obj=join id=bb720bf54e4b l=127.0.0.1:8199 r=3.228.45.243:10013
t=2026-03-27T17:35:40-0400 lvl=info msg="join connections" obj=join id=99eb40bb1928 l=127.0.0.1:8199 r=3.228.45.243:19038
t=2026-03-27T17:35:42-0400 lvl=info msg="join connections" obj=join id=e659e65f5f66 l=127.0.0.1:8199 r=3.228.45.243:1871
t=2026-03-27T18:10:38-0400 lvl=info msg="join connections" obj=join id=fc93a3413c13 l=127.0.0.1:8199 r=3.228.45.243:15338
t=2026-03-27T18:10:53-0400 lvl=info msg="join connections" obj=join id=551f54fc61eb l=127.0.0.1:8199 r=3.228.45.243:50520
t=2026-03-27T18:10:55-0400 lvl=info msg="join connections" obj=join id=38905b0273be l=127.0.0.1:8199 r=3.228.45.243:7399
